,source,target,weight
0,Mr. Garrison,Rick,18
1,PC Principal,Rick,12
2,Mr. Garrison,PC Principal,29
3,Kyle,Stan,2
4,Cartman,Stan,13
5,Butters,Stan,3
6,Stan,Tolkien,2
7,Clyde,Stan,2
8,Cartman,Kyle,6
9,Butters,Kyle,4
10,Kyle,Tolkien,1
11,Clyde,Kyle,1
12,Butters,Cartman,15
13,Cartman,Tolkien,4
14,Cartman,Clyde,4
15,Butters,Tolkien,1
16,Butters,Clyde,1
17,Clyde,Tolkien,1
18,PC Principal,Wendy,58
19,Heather,PC Principal,24
20,Mr. Mackey,PC Principal,24
21,Heather,Wendy,10
22,Mr. Mackey,Wendy,6
23,Heather,Mr. Mackey,9
24,Cartman,Liane,22
25,Liane,PC Principal,28
26,Cartman,PC Principal,14
27,Frank,Mike,24
28,Cartman,Heather,5
29,Butters,Heather,1
30,Craig,Heather,3
31,Heather,Jimmy,1
32,Heather,Stan,1
33,Cartman,Wendy,22
34,Cartman,Craig,15
35,Cartman,Jimmy,5
36,Butters,Wendy,7
37,Craig,Wendy,12
38,Jimmy,Wendy,4
39,Stan,Wendy,4
40,Butters,Craig,3
41,Butters,Jimmy,1
42,Craig,Jimmy,3
43,Craig,Stan,3
44,Jimmy,Stan,1
45,IHOP Customer,Sarah,8
46,Kyle,Mr. Garrison,5
47,Butters,Mr. Garrison,15
48,Mr. Garrison,Wendy,5
49,Cartman,Mr. Garrison,10
50,Kyle,Wendy,1
51,Kyle,PC Principal,1
52,Butters,PC Principal,3
53,IHOP Customer,Yates,4
54,Mr. Billings,Mrs. Billings,24
55,Mrs. Billings,Yates,24
56,Mr. Billings,Yates,36
